2011/01/04,799,808,795,802,9600,802
2011/01/05,802,807,802,806,17800,806
2011/01/06,809,809,802,805,13200,805
2011/01/07,812,817,800,817,39900,817
2011/01/11,819,833,819,830,18100,830
2011/01/12,830,833,819,824,13000,824
2011/01/13,825,826,811,813,8500,813
2011/01/14,816,850,815,844,33500,844
2011/01/17,855,877,855,868,52300,868
2011/01/18,876,880,854,864,36100,864
2011/01/19,877,877,851,865,19200,865
2011/01/20,857,868,855,863,12600,863
2011/01/21,858,858,826,854,16700,854
2011/01/24,848,857,830,847,11400,847
2011/01/25,855,862,850,860,10200,860
2011/01/26,862,865,853,856,8300,856
2011/01/27,863,878,858,860,17300,860
2011/01/28,862,872,854,865,7100,865
2011/01/31,868,869,855,867,12300,867
2011/02/01,870,872,860,869,12600,869
2011/02/02,869,877,862,876,15200,876
2011/02/03,876,878,871,877,11700,877
2011/02/04,871,878,871,876,7200,876
2011/02/07,877,885,877,881,21600,881
2011/02/08,889,890,881,887,9200,887
2011/02/09,887,889,882,888,8300,888
2011/02/10,889,899,888,898,26200,898
2011/02/14,899,905,899,905,17400,905
2011/02/15,906,915,901,909,33100,909
2011/02/16,909,920,900,917,32200,917
2011/02/17,923,923,902,902,10700,902
2011/02/18,896,900,890,892,14100,892
2011/02/21,881,888,878,880,23000,880
2011/02/22,875,880,858,865,19200,865
2011/02/23,850,860,849,849,15700,849
2011/02/24,839,840,830,830,18600,830
2011/02/25,830,835,827,835,7500,835
2011/02/28,837,862,837,861,11200,861
2011/03/01,862,880,862,866,7800,866
2011/03/02,866,866,850,851,15100,851
2011/03/03,878,878,860,866,6700,866
2011/03/04,875,875,857,857,14000,857
